,ASVid,Kingdom,Phylum,Class,Order,Family,Genus,Species
668,ASV_668,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
669,ASV_669,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,NA
670,ASV_670,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,NA
671,ASV_671,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
672,ASV_672,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Ezakiella,NA
673,ASV_673,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,NA
674,ASV_674,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,NA
675,ASV_675,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
676,ASV_676,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Ezakiella,NA
677,ASV_677,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
678,ASV_678,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
679,ASV_679,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
680,ASV_680,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
681,ASV_681,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,NA
682,ASV_682,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
683,ASV_683,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
684,ASV_684,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,NA,NA
685,ASV_685,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
686,ASV_686,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
687,ASV_687,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
688,ASV_688,Bacteria,Firmicutes,Bacilli,Bacillales,Family_XI,Gemella,NA
689,ASV_689,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,NA
690,ASV_690,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,NA
691,ASV_691,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
692,ASV_692,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,NA
693,ASV_693,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus,NA
694,ASV_694,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,NA
695,ASV_695,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,NA
696,ASV_696,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA
697,ASV_697,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
698,ASV_698,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_6,NA
699,ASV_699,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Murdochiella,NA
700,ASV_700,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,NA
701,ASV_701,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
